,dc:title,@_fa,link,prism:url,dc:identifier,eid,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,affiliation,pii,prism:isbn,pubmed-id
51,The IceCube Neutrino Observatory - Contributions to ICRC 2015 Part IV: Searches for Dark Matter and Exotic Particles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Measurement of the Atmospheric $ν$$_e$ Spectrum with IceCube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Searches for small-scale anisotropies from neutrino point sources with three years of IceCube data,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84983517813'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84983517813?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84983517813&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983517813&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0927650515000031'}]",https://api.elsevier.com/content/abstract/scopus_id/84983517813,SCOPUS_ID:84983517813,2-s2.0-84983517813,Aartsen M.G.,Astroparticle Physics,09276505,,66,,39-52,2015-06-01,1 June 2015,10.1016/j.astropartphys.2015.01.001,39,Journal,ar,Article,,26764,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",S0927650515000031,,
54,Search for prompt neutrino emission from gamma-ray bursts with icecube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84929631191'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84929631191?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929631191&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929631191&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84929631191,SCOPUS_ID:84929631191,2-s2.0-84929631191,Aartsen M.G.,Astrophysical Journal Letters,20418205,20418213,805,1,,2015-05-20,20 May 2015,10.1088/2041-8205/805/1/L5,115,Journal,ar,Article,L5,19900192103,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
55,Atmospheric and astrophysical neutrinos above 1 TeV interacting in IceCube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84926352976'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84926352976?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84926352976&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84926352976&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84926352976,SCOPUS_ID:84926352976,2-s2.0-84926352976,Aartsen M.G.,"Physical Review D - Particles, Fields, Gravitation and Cosmology",15507998,15502368,91,2,,2015-01-05,5 January 2015,10.1103/PhysRevD.91.022001,269,Journal,ar,Article,022001,110157,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
56,Flavor ratio of astrophysical neutrinos above 35 TeV in IceCube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84930226137'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84930226137?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930226137&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84930226137&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84930226137,SCOPUS_ID:84930226137,2-s2.0-84930226137,Aartsen M.G.,Physical Review Letters,00319007,10797114,114,17,,2015-04-28,28 April 2015,10.1103/PhysRevLett.114.171102,173,Journal,ar,Article,171102,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
57,Determining neutrino oscillation parameters from atmospheric muon neutrino disappearance with three years of IceCube DeepCore data,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84929105091'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84929105091?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929105091&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929105091&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84929105091,SCOPUS_ID:84929105091,2-s2.0-84929105091,Aartsen M.G.,"Physical Review D - Particles, Fields, Gravitation and Cosmology",15507998,15502368,91,7,,2015-04-07,7 April 2015,10.1103/PhysRevD.91.072004,117,Journal,ar,Article,072004,110157,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
58,"The IceCube Neutrino Observatory, the Pierre Auger Observatory and the Telescope Array: Joint Contribution to the 34th International Cosmic Ray Conference (ICRC 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,The IceCube Neutrino Observatory - Contributions to ICRC 2015 Part V: Neutrino Oscillations and Supernova Searches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Multipole analysis of IceCube data to search for dark matter accumulated in the Galactic halo: IceCube Collaboration,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84921342681'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84921342681?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84921342681&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84921342681&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84921342681,SCOPUS_ID:84921342681,2-s2.0-84921342681,Aartsen M.G.,European Physical Journal C,14346044,14346052,75,1,1-16,2015-01-01,2015,10.1140/epjc/s10052-014-3224-5,32,Journal,ar,Article,20,27545,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
61,Evidence for Astrophysical Muon Neutrinos from the Northern Sky with IceCube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84940657840'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84940657840?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84940657840&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940657840&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84940657840,SCOPUS_ID:84940657840,2-s2.0-84940657840,Aartsen M.G.,Physical Review Letters,00319007,10797114,115,8,,2015-08-20,20 August 2015,10.1103/PhysRevLett.115.081102,256,Journal,ar,Article,081102,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
62,"Erratum: Constraints on Ultrahigh-Energy Cosmic-Ray Sources from a Search for Neutrinos Above 10 PeV with IceCube [Phys. Rev. Lett. 117, 241101 (2016)",true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85076698937'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85076698937?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076698937&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076698937&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85076698937,SCOPUS_ID:85076698937,2-s2.0-85076698937,Aartsen M.G.,Physical review letters,,10797114,119,25,259902,2017-12-22,22 December 2017,10.1103/PhysRevLett.119.259902,19,Journal,er,Erratum,,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",,,,29303340
63,Erratum: Constraints on ultrahigh-energy cosmic-ray sources from a search for neutrinos above 10 PeV with IceCube (Physical Review Letters (2016) 117 (241101) DOI: 10.1103/PhysRevLett.117.241101),true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85039754440'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85039754440?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85039754440&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039754440&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85039754440,SCOPUS_ID:85039754440,2-s2.0-85039754440,,Physical Review Letters,00319007,10797114,119,25,,2017-12-21,21 December 2017,10.1103/PhysRevLett.119.259902,7,Journal,er,Erratum,259902,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",,,,
64,Constraints on Ultrahigh-Energy Cosmic-Ray Sources from a Search for Neutrinos above 10 PeV with IceCube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85003691426'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85003691426?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85003691426&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85003691426&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85003691426,SCOPUS_ID:85003691426,2-s2.0-85003691426,Aartsen M.G.,Physical Review Letters,00319007,10797114,117,24,,2016-12-07,7 December 2016,10.1103/PhysRevLett.117.241101,118,Journal,ar,Article,241101,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
65,OBSERVATION and CHARACTERIZATION of A COSMIC MUON NEUTRINO FLUX from the NORTHERN HEMISPHERE USING SIX YEARS of ICECUBE DATA,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85006365286'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85006365286?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85006365286&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85006365286&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85006365286,SCOPUS_ID:85006365286,2-s2.0-85006365286,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,833,1,,2016-12-10,10 December 2016,10.3847/0004-637X/833/1/3,357,Journal,ar,Article,3,26765,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
66,All-flavour search for neutrinos from dark matter annihilations in the Milky Way with IceCube/DeepCore,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84989864726'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84989864726?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84989864726&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84989864726&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84989864726,SCOPUS_ID:84989864726,2-s2.0-84989864726,Aartsen M.G.,European Physical Journal C,14346044,14346052,76,10,,2016-10-01,1 October 2016,10.1140/epjc/s10052-016-4375-3,40,Journal,ar,Article,531,27545,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
67,Searches for Sterile Neutrinos with the IceCube Detector,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84983490279'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84983490279?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84983490279&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983490279&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84983490279,SCOPUS_ID:84983490279,2-s2.0-84983490279,Aartsen M.G.,Physical Review Letters,00319007,10797114,117,7,,2016-08-08,8 August 2016,10.1103/PhysRevLett.117.071801,205,Journal,ar,Article,071801,29150,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
68,ANISOTROPY in COSMIC-RAY ARRIVAL DIRECTIONS in the SOUTHERN HEMISPHERE BASED on SIX YEARS of DATA from the ICECUBE DETECTOR,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84982224440'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84982224440?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84982224440&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982224440&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84982224440,SCOPUS_ID:84982224440,2-s2.0-84982224440,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,826,2,,2016-08-01,1 August 2016,10.3847/0004-637X/826/2/220,66,Journal,ar,Article,220,26765,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
69,Neutrino oscillation studies with IceCube-DeepCore,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84961990501'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84961990501?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84961990501&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961990501&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0550321316300141'}]",https://api.elsevier.com/content/abstract/scopus_id/84961990501,SCOPUS_ID:84961990501,2-s2.0-84961990501,Aartsen M.G.,Nuclear Physics B,05503213,,908,,161-177,2016-01-31,31 January 2016,10.1016/j.nuclphysb.2016.03.028,18,Journal,ar,Article,,29086,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",S0550321316300141,,
70,LOWERING ICECUBE'S ENERGY THRESHOLD for POINT SOURCE SEARCHES in the SOUTHERN SKY,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84976426747'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84976426747?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84976426747&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976426747&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84976426747,SCOPUS_ID:84976426747,2-s2.0-84976426747,Aartsen M.G.,Astrophysical Journal Letters,20418205,20418213,824,2,,2016-06-20,20 June 2016,10.3847/2041-8205/824/2/L28,35,Journal,ar,Article,L28,19900192103,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
